trial_number,value_for_optimization,fold_metrics
23,0.9097474125847367,"[0.9217171717171717, 0.9125964010282777, 0.9254108723135271, 0.8923476005188068, 0.9153846153846154, 0.9024707412223667, 0.8954081632653061, 0.9167733674775929, 0.9086294416243654, 0.9067357512953368]"
24,0.9073903694063159,"[0.9191919191919192, 0.9086229086229086, 0.922882427307206, 0.8914728682170543, 0.9125964010282777, 0.9053177691309987, 0.8942675159235669, 0.911651728553137, 0.9060913705583756, 0.9018087855297158]"
25,0.9099258955070489,"[0.9207547169811321, 0.9083870967741936, 0.9271356783919598, 0.8937823834196891, 0.9153846153846154, 0.9090909090909091, 0.8954081632653061, 0.9167733674775929, 0.9083969465648855, 0.9041450777202072]"
26,0.9109667190775383,"[0.9209535759096612, 0.9201030927835051, 0.9232704402515723, 0.8940568475452196, 0.9139922978177151, 0.9067357512953368, 0.8968152866242038, 0.9165596919127086, 0.9148665819567979, 0.9023136246786633]"
27,0.9109260986833843,"[0.9234629861982434, 0.9161290322580645, 0.9257861635220126, 0.8949416342412452, 0.9153846153846154, 0.9064935064935065, 0.8968152866242038, 0.9193341869398207, 0.9100126742712294, 0.9009009009009009]"
28,0.9055880830633688,"[0.9141414141414141, 0.9088575096277278, 0.9155107187894073, 0.8935064935064935, 0.9069767441860465, 0.9045751633986928, 0.8968152866242038, 0.9151670951156813, 0.9030612244897959, 0.8972691807542262]"
29,0.8942817755030811,"[0.8959390862944162, 0.8810457516339869, 0.9028132992327366, 0.8801054018445322, 0.9036458333333334, 0.8915343915343915, 0.8937259923175416, 0.904639175257732, 0.8934531450577664, 0.8959156785243741]"
30,0.9029702177613498,"[0.9170854271356784, 0.9053177691309987, 0.9125475285171103, 0.8854568854568855, 0.9058064516129032, 0.9045751633986928, 0.8928571428571429, 0.9060489060489061, 0.8991060025542784, 0.9009009009009009]"
31,0.908786210647089,"[0.9234629861982434, 0.9147286821705426, 0.9255989911727617, 0.8914728682170543, 0.9111969111969112, 0.9069767441860465, 0.8942675159235669, 0.9139922978177151, 0.9086294416243654, 0.8975356679636836]"
32,0.9105593979192317,"[0.9221105527638191, 0.9109677419354839, 0.9281210592686002, 0.8937823834196891, 0.9153846153846154, 0.9043927648578811, 0.8919949174078781, 0.9193341869398207, 0.9148665819567979, 0.904639175257732]"
33,0.9051989503219552,"[0.9157232704402516, 0.9062901155327343, 0.9141414141414141, 0.8909090909090909, 0.9135483870967742, 0.9010416666666666, 0.8959390862944162, 0.9097938144329897, 0.9042145593869731, 0.9003880983182406]"
34,0.9076953556776992,"[0.9178255372945638, 0.9144316730523627, 0.9252217997465145, 0.8937823834196891, 0.907928388746803, 0.9041450777202072, 0.8919949174078781, 0.911651728553137, 0.9081632653061225, 0.9018087855297158]"
35,0.8943684884544864,"[0.8973384030418251, 0.8886010362694301, 0.9116161616161617, 0.8802083333333334, 0.9003880983182406, 0.8847682119205298, 0.887468030690537, 0.9074550128534704, 0.8934531450577664, 0.8923884514435696]"
36,0.9055358720654061,"[0.9182389937106918, 0.9109677419354839, 0.9152970922882427, 0.8906048906048906, 0.9086229086229086, 0.9069462647444299, 0.8945362134688691, 0.9111969111969112, 0.9005102040816326, 0.8984375]"
37,0.9091476791958595,"[0.9236545682102628, 0.9114249037227214, 0.9217171717171717, 0.8931788931788932, 0.9153846153846154, 0.9024707412223667, 0.8931297709923665, 0.9144316730523627, 0.9086294416243654, 0.9074550128534704]"
38,0.9072507641995948,"[0.9205548549810845, 0.9076923076923077, 0.9230769230769231, 0.890038809831824, 0.9114249037227214, 0.9067357512953368, 0.8908629441624365, 0.9153846153846154, 0.9060913705583756, 0.9006451612903226]"
39,0.8843373850188498,"[0.8911651728553137, 0.8647214854111406, 0.8906048906048906, 0.8754914809960681, 0.8894668400520156, 0.8666666666666667, 0.8906048906048906, 0.9020618556701031, 0.8831168831168831, 0.8894736842105263]"
40,0.9051309106969558,"[0.9132075471698113, 0.9051282051282051, 0.9129886506935687, 0.8880208333333334, 0.9125964010282777, 0.905511811023622, 0.8991060025542784, 0.9167733674775929, 0.9033078880407125, 0.8946684005201561]"
41,0.9117021052375656,"[0.9246231155778895, 0.9125964010282777, 0.9257861635220126, 0.9001297016861219, 0.9151670951156813, 0.9064935064935065, 0.8945362134688691, 0.9167733674775929, 0.9148665819567979, 0.9060489060489061]"
42,0.9109825726533443,"[0.9232704402515723, 0.9153846153846154, 0.9242424242424242, 0.8963730569948186, 0.9137709137709138, 0.910039113428944, 0.8939974457215837, 0.9158163265306123, 0.9137055837563451, 0.9032258064516129]"
