trial_number,value_for_optimization,fold_metrics
49,0.9048938311233394,"[0.9092055485498108, 0.9029003783102144, 0.9092055485498108, 0.89281210592686, 0.9117276166456494, 0.9104665825977302, 0.8940731399747793, 0.9104665825977302, 0.9065656565656566, 0.9015151515151515]"
50,0.9059021806972629,"[0.914249684741488, 0.9104665825977302, 0.914249684741488, 0.8852459016393442, 0.9167717528373266, 0.9066834804539723, 0.8965952080706179, 0.9104665825977302, 0.9040404040404041, 0.9002525252525253]"
51,0.912082839746774,"[0.9230769230769231, 0.914249684741488, 0.9281210592686002, 0.9003783102143758, 0.9155107187894073, 0.9079445145018915, 0.8978562421185372, 0.9167717528373266, 0.9103535353535354, 0.9065656565656566]"
52,0.9125875718088832,"[0.9230769230769231, 0.9129886506935687, 0.9281210592686002, 0.8991172761664565, 0.9180327868852459, 0.9117276166456494, 0.8965952080706179, 0.9167717528373266, 0.9141414141414141, 0.9053030303030303]"
53,0.9038853223279453,"[0.9155107187894073, 0.9066834804539723, 0.9167717528373266, 0.8953341740226987, 0.9129886506935687, 0.8713745271122321, 0.89281210592686, 0.9167717528373266, 0.9065656565656566, 0.9040404040404041]"
54,0.9069114856000102,"[0.914249684741488, 0.9092055485498108, 0.9180327868852459, 0.89281210592686, 0.9079445145018915, 0.914249684741488, 0.8965952080706179, 0.9079445145018915, 0.9027777777777778, 0.9053030303030303]"
55,0.9113254232106691,"[0.9205548549810845, 0.9180327868852459, 0.9243379571248423, 0.8965952080706179, 0.9155107187894073, 0.9129886506935687, 0.8965952080706179, 0.9180327868852459, 0.9078282828282829, 0.9027777777777778]"
56,0.9074171729909434,"[0.9180327868852459, 0.9092055485498108, 0.9180327868852459, 0.8940731399747793, 0.9092055485498108, 0.9104665825977302, 0.8902900378310215, 0.9066834804539723, 0.9078282828282829, 0.9103535353535354]"
57,0.9079209497242285,"[0.9205548549810845, 0.9104665825977302, 0.9180327868852459, 0.8915510718789408, 0.9117276166456494, 0.9079445145018915, 0.8953341740226987, 0.9104665825977302, 0.9065656565656566, 0.9065656565656566]"
58,0.912966359687671,"[0.9205548549810845, 0.9192938209331651, 0.9306431273644389, 0.8965952080706179, 0.914249684741488, 0.9104665825977302, 0.89281210592686, 0.9218158890290038, 0.9128787878787878, 0.9103535353535354]"
59,0.9084250449004546,"[0.9192938209331651, 0.9092055485498108, 0.9218158890290038, 0.8890290037831021, 0.914249684741488, 0.9117276166456494, 0.8965952080706179, 0.9117276166456494, 0.9015151515151515, 0.9090909090909091]"
60,0.9117046887538691,"[0.9218158890290038, 0.914249684741488, 0.926860025220681, 0.8940731399747793, 0.914249684741488, 0.9117276166456494, 0.8965952080706179, 0.9192938209331651, 0.9103535353535354, 0.9078282828282829]"
61,0.91119995669176,"[0.9205548549810845, 0.9117276166456494, 0.9255989911727617, 0.8953341740226987, 0.914249684741488, 0.9092055485498108, 0.8978562421185372, 0.9218158890290038, 0.9103535353535354, 0.9053030303030303]"
62,0.9076685836931737,"[0.9129886506935687, 0.9079445145018915, 0.9218158890290038, 0.8915510718789408, 0.9129886506935687, 0.9079445145018915, 0.8953341740226987, 0.914249684741488, 0.9065656565656566, 0.9053030303030303]"
63,0.9094337129173194,"[0.9180327868852459, 0.9104665825977302, 0.9243379571248423, 0.8953341740226987, 0.9155107187894073, 0.9079445145018915, 0.8953341740226987, 0.9180327868852459, 0.9090909090909091, 0.9002525252525253]"
64,0.9013618212388705,"[0.9041614123581336, 0.8965952080706179, 0.9092055485498108, 0.8902900378310215, 0.905422446406053, 0.9016393442622951, 0.8953341740226987, 0.9117276166456494, 0.8977272727272727, 0.9015151515151515]"
65,0.9137228208949519,"[0.9230769230769231, 0.9155107187894073, 0.935687263556116, 0.8978562421185372, 0.9117276166456494, 0.914249684741488, 0.8965952080706179, 0.9205548549810845, 0.9128787878787878, 0.9090909090909091]"
66,0.914984491828754,"[0.9218158890290038, 0.9155107187894073, 0.9319041614123581, 0.9003783102143758, 0.914249684741488, 0.9167717528373266, 0.9003783102143758, 0.9218158890290038, 0.9141414141414141, 0.9128787878787878]"
67,0.9062809685760508,"[0.9129886506935687, 0.9066834804539723, 0.9155107187894073, 0.8953341740226987, 0.9079445145018915, 0.9092055485498108, 0.89281210592686, 0.914249684741488, 0.9040404040404041, 0.9040404040404041]"
68,0.9123348873348874,"[0.9255989911727617, 0.9155107187894073, 0.9306431273644389, 0.8991172761664565, 0.9129886506935687, 0.9155107187894073, 0.8915510718789408, 0.9167717528373266, 0.9141414141414141, 0.9015151515151515]"
69,0.9144796005451742,"[0.9205548549810845, 0.9192938209331651, 0.9331651954602774, 0.8991172761664565, 0.9129886506935687, 0.9167717528373266, 0.9016393442622951, 0.9180327868852459, 0.9103535353535354, 0.9128787878787878]"
70,0.9106961799584748,"[0.9167717528373266, 0.9129886506935687, 0.9281210592686002, 0.8965952080706179, 0.9117276166456494, 0.9092055485498108, 0.8940731399747793, 0.9167717528373266, 0.9154040404040404, 0.9053030303030303]"
71,0.9130916669851097,"[0.9192938209331651, 0.9230769230769231, 0.9306431273644389, 0.9016393442622951, 0.914249684741488, 0.9092055485498108, 0.8940731399747793, 0.9218158890290038, 0.9103535353535354, 0.9065656565656566]"
72,0.9138486058568025,"[0.9243379571248423, 0.9180327868852459, 0.9331651954602774, 0.8965952080706179, 0.914249684741488, 0.9117276166456494, 0.8978562421185372, 0.9230769230769231, 0.9154040404040404, 0.9040404040404041]"
73,0.913470614085368,"[0.9218158890290038, 0.9155107187894073, 0.9331651954602774, 0.9016393442622951, 0.914249684741488, 0.9104665825977302, 0.8915510718789408, 0.9243379571248423, 0.9141414141414141, 0.9078282828282829]"
74,0.9118293591654248,"[0.9243379571248423, 0.9155107187894073, 0.935687263556116, 0.8965952080706179, 0.9117276166456494, 0.9117276166456494, 0.8953341740226987, 0.9205548549810845, 0.9040404040404041, 0.9027777777777778]"
