number,values_0,value,params_brics_min_freq,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,params_reg_alpha,params_reg_lambda,params_rings_min_freq,params_side_min_freq,params_subsample,state,user_attrs_cv_recall,user_attrs_val_metric
81,0.958725947934352,0.958725947934352,3,0.8092354953020083,89,0.2419065357977936,0.016174575006468617,24,1,728,0.6373684712774319,2.7523347147309707,3,5,0.7970569645048622,COMPLETE,0.8097372251589674,0.958725947934352
82,0.958227221279004,0.958227221279004,3,0.8077704309572591,91,0.19486778133493865,0.01513086795626182,24,1,767,1.1809748794905515,2.2090095351095593,3,5,0.7905810452829755,COMPLETE,0.8128054853290431,0.958227221279004
83,0.9575056593095643,0.9575056593095643,3,0.8117151594609627,75,0.16841053748633295,0.01466923782077517,24,1,788,1.2114560644582122,1.8540221189890471,3,5,0.78853770328866,COMPLETE,0.8092928828621773,0.9575056593095643
84,0.9560262804187889,0.9560262804187889,3,0.8675192635674506,85,0.33778937294627515,0.0085196568766091,25,1,706,0.6135111754133802,2.2141782995817354,3,5,0.8140220520274603,COMPLETE,0.8084176051482418,0.9560262804187889
85,0.9587330220713073,0.9587330220713073,3,0.8166123131243475,100,0.21796183683967024,0.015349698565854322,22,1,876,0.9006204329183938,1.410530026689406,3,5,0.8055274630843475,COMPLETE,0.8101796521872366,0.9587330220713073
86,0.95731642614601,0.95731642614601,3,0.8096894158816668,101,0.4470158463721014,0.02557649665484153,22,1,905,1.1200080253861813,1.1408849330385478,3,5,0.803816424459273,COMPLETE,0.809298628667739,0.95731642614601
87,0.9572757498585173,0.9572757498585173,3,0.8675618100872385,99,0.14114605479066877,0.014350474224943992,19,3,837,0.4463358275159597,1.4629540835021675,3,5,0.776089028278994,COMPLETE,0.80272542710488,0.9572757498585173
88,0.9580680531975099,0.9580680531975099,3,0.8519227021312207,116,0.39196416049389626,0.01870768284129653,24,1,577,0.9700072559213379,0.5353225752267189,3,5,0.8615326306319244,COMPLETE,0.8097333946219261,0.9580680531975099
89,0.953514077532541,0.953514077532541,3,0.9037825400856305,77,0.2577577082105065,0.01173449703525518,25,8,749,0.6590036583997041,2.709295929984118,3,5,0.7978384262218358,COMPLETE,0.7996609974718456,0.953514077532541
90,0.9512370897000566,0.9512370897000566,3,0.8145977779317845,59,3.7509876568380465,0.02525413735986814,22,2,1017,0.17132666684628584,2.488318936468161,3,5,0.8181226883014128,COMPLETE,0.7908890676472842,0.9512370897000566
91,0.9577903933220147,0.9577903933220147,3,0.7750942501925209,160,0.17859550079429334,0.015405610383232965,23,1,699,0.9415493743951978,2.3180849284990312,3,5,0.7786304040800651,COMPLETE,0.8141193595342067,0.9577903933220147
92,0.9577037351443125,0.9577037351443125,3,0.7540732517037083,91,0.5122516450310963,0.020555718465871235,21,1,912,1.2126657208438976,2.0148189003596904,3,5,0.9204385277441895,COMPLETE,0.8071037309430782,0.9577037351443125
93,0.9585190294284097,0.9585190294284097,3,0.7990726430247129,110,0.14654105066615397,0.0165338175325716,20,1,806,0.7886759443322627,1.5623292945452865,3,5,0.8268266572261201,COMPLETE,0.8119244618095458,0.9585190294284097
94,0.9574755942275043,0.9574755942275043,3,0.7892215480534698,107,0.3647712008636093,0.013250725464914048,20,2,656,0.3594111367321505,1.5841770064256309,3,5,0.8257234872143075,COMPLETE,0.8040316402359611,0.9574755942275043
95,0.9576948924731183,0.9576948924731183,3,0.8229535392484765,92,0.16235783501604237,0.009370318737959437,18,2,810,0.7720644273770809,1.3015737075442138,3,5,0.8665951141533892,COMPLETE,0.8040354707730023,0.9576948924731183
96,0.9559122099603848,0.9559122099603848,3,0.796621481139263,70,0.5931506252748666,0.017881081819303278,21,10,1086,0.6643047016711972,0.8570700547035515,3,5,0.8519483068894395,COMPLETE,0.8044836436068337,0.9559122099603848
97,0.9526669496321448,0.9526669496321448,3,0.8519148900231379,121,2.72956778579522,0.022576398950929492,22,3,889,0.4730268890720809,1.8826946903601436,3,5,0.739169113586524,COMPLETE,0.7952692867540029,0.9526669496321448
98,0.9573005093378607,0.9573005093378607,3,0.8845634565211038,107,0.12451880503101245,0.010932212606149254,26,1,542,1.1342117401222511,2.769582638279462,3,5,0.9045591424637193,COMPLETE,0.8040297249674404,0.9573005093378607
99,0.9573164261460102,0.9573164261460102,3,0.7480325222775402,140,0.3073230790628664,0.012896321123368002,19,3,662,0.3214430827679519,2.612153757693515,3,5,0.764130788358251,COMPLETE,0.801403891825634,0.9573164261460102
100,0.9569503395585739,0.9569503395585739,3,0.8452141617508226,176,0.4669310412272698,0.03442663517925724,25,1,747,0.5624403081371401,2.4235129875391266,3,5,0.8040745022264408,COMPLETE,0.8062246226921015,0.9569503395585739
101,0.9581741652518394,0.9581741652518394,3,0.7669796280975247,154,0.24661237697950217,0.01592507282505195,24,1,741,0.9046904487831449,2.5894607009227886,3,5,0.8241268233286191,COMPLETE,0.8149888914425801,0.9581741652518394
